# Gridlock wordlist — WORD<TAB>score<TAB>clue|clue|...
# See PLAN.md 3.1. Lint with: python -m gridlock validate-words

GUT	72	Belly
GUY	80	Fellow
GYM	82	Workout spot
HAM	78	Deli meat|Overactor
HAS	76	Owns
HAT	86	Head topper
HAY	76	Barn bale
HEM	72	Skirt edge
HEN	80	Egg layer
HER	78	Belonging to a woman
HEX	70	Curse
HID	72	Concealed
HIP	78	Trendy|Joint above the leg
HIS	78	Belonging to a man
HIT	84	Chart topper|Strike
HOE	74	Garden tool
HOG	76	Farm animal|Take it all
HOP	78	Bunny move
HOT	86	Very warm
HOW	82	In what way
HUB	76	Wheel center
HUE	74	Shade of color
HUG	82	Warm embrace
HUM	76	Wordless tune
HUT	76	Simple shelter
ICE	86	Frozen water
ICY	78	Slick in winter
ILL	78	Under the weather
IMP	72	Little mischief maker
INK	80	Pen filler
INN	78	Roadside lodging
ION	72	Charged particle
IRE	70	Anger
IRK	70	Annoy
IVY	76	Climbing vine
JAB	74	Quick punch
JAM	80	Toast topper|Traffic snarl
JAR	80	Pickle holder
JAW	76	Chin's neighbor
JAY	72	Blue bird
JET	80	Fast plane
JIG	70	Lively dance
JOB	84	Daily work
JOG	78	Easy run
JOT	72	Write quickly
JOY	82	Great happiness
JUG	74	Milk container
KEG	72	Party barrel
KEY	86	Lock opener|Piano part
KID	82	Youngster
KIN	72	Relatives
KIT	78	Set of tools
LAB	80	Science room
LAD	72	Young fellow
LAG	74	Fall behind
LAP	78	Track circuit|Seated space
LAW	82	Rule of the land
LAY	76	Put down
LED	78	Guided
LEG	84	Limb for walking
LET	80	Allow
LID	78	Jar topper
LIE	80	Untruth
LIP	78	Mouth edge
LIT	76	Illuminated
LOB	72	High toss
LOG	80	Firewood piece|Record of events
LOT	78	Parking space|Great deal
LOW	82	Not high
LUG	70	Haul
MAD	80	Angry
MAN	82	Grown male
MAP	84	Road guide
MAT	78	Door greeter
MAY	78	Spring month
MEN	78	Grown males
MET	76	Encountered
MID	72	Halfway point
MIX	82	Stir together
MOB	74	Angry crowd
MOP	78	Floor cleaner
MOW	74	Cut the lawn
MUD	80	Wet dirt
MUG	80	Coffee cup
NAB	72	Catch in the act
NAG	74	Pester
NAP	80	Short sleep
NET	82	Tennis divider|Clear profit
NEW	86	Just out
NIB	64	Fountain pen point
NIL	68	Zero, in soccer
NIP	70	Small bite
NOD	78	Head bob
NOR	70	Neither's partner
NOT	80	Negative word
NOW	84	At this moment
NUN	72	Convent resident
NUT	80	Squirrel's snack
OAK	82	Acorn tree
OAR	78	Rowboat mover
OAT	76	Cereal grain
ODD	80	Not even
ODE	76	Poem of praise
OFF	80	Not on
OFT	62	Frequently, in verse
OHM	66	Resistance unit
OIL	84	Salad dressing base
OLD	84	Aged
ONE	84	Single unit
OPT	76	Choose
ORB	70	Sphere
ORE	78	Mined rock
OUR	76	Belonging to us
OUT	84	Not in
OWE	76	Be in debt
OWL	82	Nighttime hooter
OWN	80	Possess
PAD	76	Cushion
PAL	80	Buddy
PAN	82	Frying vessel
PAR	78	Golf standard
PAT	76	Gentle tap
PAW	80	Kitten's foot
PAY	84	Wages
PEA	80	Pod vegetable
PEG	74	Wooden pin
PEN	84	Writing tool
PEP	72	Energy
PER	70	For each
PET	84	Household animal
PEW	70	Church bench
PIE	84	Baked dessert
PIG	82	Barnyard oinker
PIN	80	Bowling target
PIT	78	Peach center
PLY	66	Layer of wood
POD	74	Pea case
POP	80	Soda, in some regions|Burst
POT	80	Cooking vessel
PRO	78	Expert
PRY	72	Snoop
PUB	78	Tavern
PUG	70	Flat-faced dog
PUN	74	Play on words
PUP	74	Young dog
PUT	82	Place down
RAG	76	Cleaning cloth
RAM	74	Male sheep|Butt heads
RAN	78	Sprinted
RAP	76	Rhythmic music genre
RAT	78	Rodent
RAW	78	Uncooked
RAY	80	Beam of light
RED	86	Fire truck color
REF	74	Whistle blower
RIB	76	Chest bone
RID	74	Free of
RIG	72	Oil platform
RIM	76	Wheel edge
RIP	78	Tear apart
ROB	74	Steal from
ROD	74	Fishing pole
ROE	64	Fish eggs
ROT	74	Decay
ROW	80	Line of seats
RUB	78	Massage
RUG	80	Floor covering
RUM	74	Pirate's drink
RUN	84	Move fast on foot
RUT	70	Deep groove
RYE	74	Deli bread
SAD	84	Blue in mood
SAG	74	Droop
SAP	72	Tree juice
SAT	76	Was seated
SAW	78	Cutting blade
SAY	82	Utter
SEA	84	Ocean expanse
SEE	84	View
SET	82	Group of items
SEW	76	Stitch
SHE	78	Female pronoun
SHY	80	Bashful
SIN	74	Moral wrong
SIP	78	Small drink
SIR	76	Polite address for a man
SIT	82	Take a seat
SIX	82	Half a dozen
SKI	80	Slope slider
SKY	86	Where clouds float
SLY	76	Cunning
SOB	74	Cry hard
SOD	70	Lawn patch
SON	80	Male offspring
SOW	72	Plant seeds
SOY	76	Bean in tofu
SPA	80	Massage retreat
SPY	80	Secret agent
SUB	78	Sandwich on a long roll|Underwater craft
SUE	74	Take to court
SUM	80	Total
SUN	86	Daytime star
TAB	76	Bar bill
TAG	80	Price marker|Playground chase
TAN	78	Beach color
TAP	80	Faucet
TAR	72	Road goo
TAX	80	April payment
TEA	84	Steeped drink
TEE	76	Golf peg
TEN	82	Digits on two hands
THE	76	Common article
TIC	70	Nervous twitch
TIE	80	Neck accessory|Equal score
TIN	76	Metal can
TIP	80	Waiter's extra
TOE	80	Foot digit
TON	76	Heavy weight
TOP	84	Highest point
TOT	72	Little kid
TOW	76	Haul away
TOY	82	Kid's plaything
TRY	82	Attempt
TUB	78	Bathing basin
TUG	76	Firm pull
TWO	82	Pair count
URN	72	Coffee dispenser
USE	82	Put to work
VAN	80	Delivery vehicle
VAT	70	Big industrial tub
VET	76	Animal doctor
VIA	74	By way of
VIE	68	Compete
VOW	78	Wedding promise
WAD	70	Bunch of bills
WAG	72	Tail motion
WAR	78	Armed conflict
WAS	76	Existed
WAX	76	Candle material
WAY	82	Method
WEB	82	Spider's home
WED	74	Marry
WEE	72	Tiny
WET	82	Soaked
WHO	80	Question word for a person
WHY	82	Reason question
WIG	76	Fake hair
WIN	84	Take first place
WIT	78	Clever humor
WOE	72	Deep sorrow
WOK	74	Stir-fry pan
WON	80	Came in first
WOO	70	Court romantically
YAK	72	Tibetan ox|Chatter away
YAM	76	Sweet tuber
YAP	70	Small dog's bark
YEA	66	Vote of support
YES	84	Affirmative
YET	78	So far
YEW	66	Churchyard evergreen
YOU	82	The reader
ZAP	74	Zing with a laser
ZEN	74	Calm state of mind
ZIP	78	Fasten a jacket
ZOO	84	Animal park
ABLE	82	Up to the task
ACHE	80	Dull pain
ACID	76	Lemon juice quality
ACRE	78	Land measure
AIDE	74	Helper to a boss
AJAR	72	Slightly open
AKIN	70	Similar
ALSO	80	In addition
ALTO	74	Choir voice
AMEN	76	Prayer's end
AMID	72	Surrounded by
ANEW	70	Once more
ANTE	72	Poker starter
APEX	76	Peak
AQUA	74	Blue-green shade
ARCH	78	Curved doorway
AREA	82	Region
ARIA	74	Opera solo
ARMY	82	Land forces
ATOM	80	Tiny particle
AUNT	82	Mom's sister
AUTO	78	Car, formally
AVID	72	Very keen
AWAY	80	Not here
AXIS	74	Rotation line
AXLE	74	Wheel rod
BABY	84	Newborn
BACK	84	Spine side
BAIT	78	Hook lure
BAKE	82	Use the oven
BALD	76	Hairless
BALL	84	Round toy
BAND	82	Music group
BANK	84	Money keeper
BARE	78	Uncovered
BARK	80	Dog's sound|Tree covering
BARN	80	Farm building
BASE	80	Foundation
BATH	82	Tub soak
BEAD	76	Necklace bit
BEAM	78	Ray of light
BEAN	80	Coffee bit
BEAR	82	Woods bruin
BEAT	80	Rhythm
BEEF	78	Burger meat
BEER	78	Brewery product
BELL	82	Ringer
BELT	80	Waist strap
BEND	80	Curve
BENT	76	Not straight
BEST	84	Top rated
BIKE	82	Two-wheeler
BILL	80	Restaurant tab|Duck's beak
BIND	74	Tie together
BIRD	84	Feathered flier
BITE	80	Chomp
BLEW	74	Puffed away
BLOB	72	Shapeless mass
BLOT	70	Ink spot
BLOW	78	Gust
BLUE	84	Sky shade
BLUR	74	Fuzzy image
BOAT	84	Water craft
BODY	82	Physical form
BOIL	78	Bubble on the stove
BOLD	80	Daring
BOLT	78	Nut's partner|Dash away
BOND	76	Strong link
BONE	80	Skeleton piece
BOOK	84	Reading material
BOOM	76	Loud blast
BOOT	80	Winter footwear
BORE	72	Dull person
BORN	78	Newly arrived
BOSS	80	The one in charge
BOTH	80	The pair
BOWL	80	Cereal dish
BRAG	76	Show off
BRAN	70	Cereal fiber
BRAT	72	Spoiled kid
BREW	76	Make coffee
BRIM	72	Hat edge
BROW	74	Forehead
BUCK	74	Male deer
BULB	76	Light fixture part
BULK	74	Large mass
BULL	76	Rodeo beast
BUMP	78	Road jolt
BUNK	74	Stacked bed
BURN	78	Scorch
BURY	76	Put underground
BUSH	78	Small shrub
BUSY	82	Not free
BUZZ	78	Bee's sound
CAFE	80	Coffee shop
CAGE	78	Zoo enclosure
CAKE	84	Birthday dessert
CALF	76	Young cow|Lower leg
CALL	82	Phone someone
CALM	82	Peaceful
CAME	78	Arrived
CAMP	80	Tent trip
CANE	74	Walking stick
CAPE	76	Superhero's garment
CARD	82	Deck member
CARE	82	Look after
CART	78	Shopping wheeler
CASE	80	Legal matter
CASH	82	Paper money
CAST	78	Play's actors|Broken arm wrap
CAVE	80	Underground hollow
CELL	80	Body's building block
CENT	76	Penny value
CHAT	80	Casual talk
CHEF	82	Kitchen boss
CHEW	78	Work the jaws
CHIN	78	Below the mouth
CHIP	80	Snack crisp
CHOP	78	Cut with an axe
CITE	72	Quote a source
CITY	84	Urban center
CLAM	76	Beach shellfish
CLAP	78	Applaud
CLAW	78	Cat's nail
CLAY	78	Potter's material
CLIP	76	Paper fastener
CLOG	72	Block a drain
CLUB	80	Social group
CLUE	82	Puzzle hint
COAL	78	Mine output
COAT	82	Winter wear
CODE	80	Secret writing
COIL	74	Spiral
COIN	80	Pocket change
COLD	84	Wintry
COLT	72	Young horse
COMB	78	Hair tool
COME	80	Approach
COOK	82	Prepare a meal
COOL	82	Chilly|Very hip
COPE	74	Manage stress
COPY	80	Duplicate
CORD	76	Electric wire
CORE	78	Apple center
CORK	76	Bottle stopper
CORN	80	Cob crop
COST	82	Price
COVE	72	Small bay
CRAB	78	Sideways scuttler
CRAM	72	Study frantically
CRIB	76	Baby's bed
CROP	78	Farm harvest
CROW	78	Black bird
CUBE	78	Six-sided shape
CUFF	72	Sleeve end
CULT	70	Fringe following
CURB	74	Street edge
CURE	80	Remedy
CURL	76	Hair twist
CUTE	80	Adorable
DAME	68	Titled British woman
DAMP	76	Slightly wet
DARE	80	Challenge
DARK	82	Without light
DARN	70	Mend a sock
DART	76	Pub board missile
DASH	76	Quick sprint|Pinch of salt
DATA	80	Facts and figures
DATE	82	Calendar day|Romantic outing
DAWN	80	Break of day
DEAF	72	Unable to hear
DEAL	80	Bargain
DEAN	70	College official
DEAR	78	Beloved
DEBT	78	Money owed
DECK	78	Cards set|Patio floor
DEED	74	Act|Property paper
DEEM	68	Consider to be
DEEP	82	Not shallow
DEER	82	Forest grazer
DELI	76	Sandwich counter
DENT	76	Fender ding
DENY	76	Refuse to admit
DESK	82	Office table
DIAL	76	Phone face
DICE	78	Rolling cubes
DIET	80	Eating plan
DIME	78	Ten cents
DINE	76	Eat formally
DIRE	72	Very serious
DIRT	80	Garden soil
DISH	80	Plate|Prepared food
DISK	74	Round flat object
DIVE	78	Head into the pool
DOCK	74	Boat landing
DOLL	76	Toy figure
DOME	76	Rounded roof
DONE	80	Finished
DOOM	72	Grim fate
DOOR	84	Entryway
DOSE	76	Medicine amount
DOVE	76	Peace bird
DOWN	82	Not up
DOZE	72	Nap lightly
DRAB	70	Dull and dreary
DRAG	76	Pull along
DRAW	80	Sketch|Tied game
DREW	74	Sketched
DRIP	74	Faucet sound
DROP	80	Let fall
DRUM	80	Kit percussion
DUAL	72	Twofold
DUCK	80	Pond bird|Dodge quickly
DUEL	72	Pistols at dawn
DUET	74	Song for two
DUKE	72	Noble rank
DULL	76	Not sharp|Boring
DUMP	74	Trash site
DUNE	74	Sand hill
DUSK	76	Twilight
DUST	80	Shelf film
DUTY	78	Obligation
EACH	80	Every one
EARL	70	British noble
EARN	80	Work for wages
EASE	76	Comfort
EAST	82	Sunrise direction
EASY	84	Simple
ECHO	80	Canyon repeat
EDGE	80	Border
EDIT	78	Revise
ELSE	74	Otherwise
EMIT	70	Give off
EPIC	76	Grand in scale
EVEN	80	Not odd
EVER	76	At any time
EVIL	76	Wicked
EXAM	80	Big test
EXIT	82	Way out
FACE	84	Front of the head
FACT	82	True statement
FADE	78	Grow dim
FAIL	80	Not succeed
FAIR	80	Just|Carnival with rides
FAKE	80	Not genuine
FALL	82	Autumn|Take a tumble
FAME	78	Renown
FANG	72	Snake's tooth
FARE	74	Bus charge
FARM	82	Crops and barns
FAST	82	Speedy
FATE	76	Destiny
FAWN	70	Baby deer
FEAR	80	Fright
FEAT	74	Impressive act
FEED	78	Give a meal to
FEEL	82	Sense by touch
FEET	80	Ankle attachments
FELL	76	Toppled
FELT	78	Craft fabric|Sensed
FERN	76	Shady green plant
FEUD	72	Long quarrel
FILE	80	Computer document
FILL	80	Make full
FILM	82	Movie
FIND	82	Locate
FINE	80	Very good|Traffic penalty
FIRE	84	Blaze
FIRM	76	Solid|Business
FISH	84	Angler's catch
FIST	76	Clenched hand
FIVE	82	Fingers on a hand
FLAG	80	Pole flier
FLAP	74	Wing motion
FLAT	80	Level
FLAW	76	Small defect
FLEA	74	Dog's pest
FLED	72	Ran off
FLEE	74	Run away
FLEW	76	Went by air
FLEX	72	Show off muscles
FLIP	76	Turn over
FLOW	78	Stream along
FOAM	76	Bubbly froth
FOIL	74	Kitchen wrap
FOLD	78	Bend over
FOLK	74	Ordinary people
FOND	74	Affectionate
FONT	72	Typeface
FOOD	84	Meal makings
FOOL	76	Silly sort
FOOT	82	Twelve inches
FORK	80	Table utensil
FORM	80	Shape|Paper to fill in
FORT	76	Walled stronghold
FOUL	74	Basketball penalty
FOUR	82	Quartet count
FOWL	70	Barnyard birds
FREE	84	At no cost
FROG	80	Lily pad hopper
FUEL	80	Tank filler
FULL	82	Not empty
FUME	70	Angry vapor
FUND	76	Money pool
FURY	74	Rage
FUSE	74	Circuit protector
FUSS	74	Needless bother
GAIN	78	Get more of
GALE	74	Strong wind
GAME	84	Match to win
GANG	74	Street group
GATE	80	Fence opening
GAVE	78	Handed over
GAZE	76	Steady look
GEAR	78	Equipment
GENE	76	Heredity unit
GIFT	82	Present
GIRL	82	Young lass
GIVE	82	Hand over
GLAD	80	Happy
GLEE	74	Delight
GLOW	78	Soft light
GLUE	80	Sticky bonder
GOAL	82	Aim|Score in soccer
GOAT	78	Bearded climber
GOLD	84	Olympic medal metal
GOLF	80	Course sport
GONE	78	No longer here
GOOD	84	Fine
GOWN	74	Formal dress
GRAB	78	Snatch
GRAM	74	Metric weight
GRAY	78	Ash color
GREW	76	Got bigger
GRID	74	Crossing lines
GRIM	74	Bleak
GRIN	78	Wide smile
GRIP	78	Firm hold
GROW	82	Get bigger
GULF	72	Large bay
GULL	72	Seaside bird
GUST	74	Wind burst
HAIL	74	Icy pellets
HAIR	84	Head growth
HALF	82	Fifty percent
HALL	80	Corridor
HALT	76	Stop short
HAND	84	Five fingers
HANG	78	Suspend
HARD	82	Difficult
HARE	74	Fast hopper
HARM	76	Damage
HARP	74	Angel's instrument
HASH	72	Diner potatoes
HATE	80	Loathe
HAUL	76	Drag a load
HAVE	80	Possess
HAWK	76	Sharp-eyed raptor
HAZE	74	Light mist
HEAD	84	Top of the body
HEAL	78	Get better
HEAP	74	Big pile
HEAR	82	Listen to
HEAT	82	Warmth
HEED	70	Pay attention to
HEEL	76	Shoe part
HEIR	74	One who inherits
HELD	78	Grasped
HELM	70	Ship's wheel
HELP	84	Assist
HERB	76	Basil or thyme
HERD	76	Cattle group
HERE	80	At this spot
HERO	82	Brave figure
HIDE	80	Conceal
HIGH	82	Lofty
HIKE	80	Trail walk
HILL	80	Small rise
HINT	80	Little clue
HIRE	78	Take on staff
HISS	74	Snake sound
HIVE	74	Bee home
HOLD	82	Grasp
HOLE	82	Doughnut center
HOLY	76	Sacred
HOME	84	Where you live
HOOD	74	Jacket top|Car front cover
HOOF	72	Horse's foot
HOOK	78	Fishing bend
HOOP	74	Basketball ring
HOPE	82	Wish for
HORN	78	Brass instrument
HOSE	76	Garden waterer
HOST	78	Party giver
HOUR	82	Sixty minutes
HOWL	74	Wolf's cry
HUGE	82	Enormous
HULL	70	Ship's body
HUNT	78	Search for
HURL	72	Throw hard
HURT	80	Cause pain
HUSH	74	Quiet down
HYMN	72	Church song
ICON	76	Desktop symbol
IDEA	84	Bright thought
IDLE	74	Doing nothing
IDOL	74	Object of adoration
INCH	80	Twelfth of a foot
INTO	76	Toward the inside
IRIS	74	Colored eye part|Spring flower
IRON	82	Press clothes|Golf club
ISLE	74	Small island
ITCH	76	Scratchy feeling
ITEM	80	Single thing
JADE	74	Green gemstone
JAIL	78	Lockup
JAZZ	80	Improvised music
JEEP	72	Rugged vehicle
JEST	70	Playful remark
JOIN	80	Become a member
JOKE	82	Punch line lead-up
JOLT	74	Sudden shock
JUMP	82	Leap up
JUNK	76	Useless stuff
JURY	78	Twelve deciders
JUST	80	Merely|Fair
KEEN	74	Eager
KEEP	82	Hold on to
KEPT	76	Held on to
KICK	80	Boot hard
KILN	68	Pottery oven
KIND	82	Nice|Sort
KING	82	Crown wearer|Chess piece
KISS	80	Peck on the cheek
KITE	78	String flier
KNEE	80	Leg joint
KNEW	76	Was aware of
KNIT	76	Work with yarn
KNOB	74	Door handle
KNOT	78	Rope tie
KNOW	82	Be aware of
LACE	78	Shoe string|Delicate fabric
LACK	76	Be without
LADY	80	Woman
LAID	74	Put down
LAIR	72	Beast's den
LAKE	84	Inland water
LAMB	78	Young sheep
LAME	72	Weak, as an excuse
LAMP	82	Table light
LAND	82	Solid ground
LANE	78	Bowling path
LARK	70	Songbird|Bit of fun
LASH	72	Whip stroke|Eye fringe
LAST	82	Final
LATE	82	Not on time
LAVA	78	Volcano flow
LAWN	80	Mowed grass
LAZY	80	Not eager to work
LEAD	80	Go first|Pencil filler
LEAF	82	Tree greenery
LEAK	78	Drip through a crack
LEAN	78	Tilt|Not fatty
LEAP	78	Big jump
LEFT	82	Not right
LEND	76	Loan out
LENS	78	Camera glass
LESS	80	Not as much
LIAR	76	Untruthful sort
LICK	74	Tongue swipe
LIFE	84	Existence
LIFT	80	Raise
LIKE	82	Enjoy|Social media tap
LIMB	76	Tree branch
LIME	78	Green citrus
LIMP	72	Uneven walk
LINE	82	Straight mark
LINK	80	Chain part|Web address
LION	82	Savanna roarer
LIST	80	Items in order
LIVE	80	Not recorded
LOAD	78	Cargo
LOAF	74	Bread unit
LOAN	78	Borrowed money
LOCK	80	Key's partner
LOFT	72	Attic space
LOGO	78	Brand symbol
LONE	74	By itself
LONG	82	Not short
LOOK	82	Glance
LOOM	72	Weaving frame
LOOP	78	Circle around
LOOT	72	Stolen goods
LORD	74	Noble title
LOSE	80	Fail to win
LOSS	78	Defeat
LOST	80	Unable to find the way
LOUD	80	Noisy
LOVE	84	Deep affection
LUCK	80	Fortune
LUMP	74	Bump in the batter
LUNG	76	Breathing organ
LURE	74	Tempt
LUSH	72	Green and thick
MADE	80	Created
MAIL	82	Postal delivery
MAIN	80	Chief
MAKE	82	Create
MALE	78	Bull or rooster
MALL	80	Shopping center
MANE	74	Lion's hair
MARK	80	Grade|Visible spot
MASK	80	Face cover
MAST	72	Sail pole
MATE	76	Partner
MATH	80	Numbers class
MAZE	78	Hedge puzzle
MEAL	82	Breakfast or dinner
MEAN	80	Unkind|Signify
MEAT	80	Butcher's offering
MEEK	72	Timid
MEET	82	Get together
MELT	78	Turn to liquid
MEMO	76	Office note
MEND	74	Repair a tear
MENU	82	List of dishes
MERE	72	Nothing more than
MESH	72	Net fabric
MESS	78	Untidy state
MICE	76	Cheese nibblers
MILD	78	Not spicy
MILE	80	5,280 feet
MILK	84	Dairy drink
MILL	74	Grain grinder
MIME	72	Silent performer
MIND	82	Brain's work
MINE	78	Belonging to me|Coal source
MINT	78	Cool herb|Coin factory
MISS	78	Fail to hit
MIST	76	Fine spray
MOAN	72	Low groan
MOAT	74	Castle's water ring
MOCK	72	Make fun of
MODE	74	Way of operating
MOLD	74	Bread fuzz|Shape a form
MOLE	72	Burrowing digger
MONK	72	Monastery dweller
MOOD	80	Frame of mind
MOON	84	Night orb
MOSS	74	Damp green growth
MOST	80	The greatest number
MOTH	78	Flame circler
MOVE	82	Change position
MUCH	78	A lot
MULE	72	Stubborn hybrid
MUSE	72	Inspiring figure
MUST	78	Have to
MUTE	76	Silence the sound
MYTH	78	Old legend
NAIL	80	Hammer target|Fingertip cover
NAME	84	What you are called
NAVY	78	Sea forces
NEAR	82	Close by
NEAT	80	Tidy
NECK	80	Head's support
NEED	82	Require
NEON	76	Bright sign gas
NEST	80	Bird's home
NEWS	82	Headlines
NEXT	80	Following
NICE	82	Pleasant
NINE	80	Baseball team count
NODE	70	Network point
NONE	76	Not any
NOON	80	Midday
NOSE	82	Smelling organ
NOTE	80	Brief message|Musical sound
NOUN	76	Person, place or thing
NUMB	74	Without feeling
OATH	74	Solemn promise
OBEY	76	Follow orders
ODDS	74	Betting chances
OKAY	78	All right
OMEN	74	Sign of things to come
OMIT	72	Leave out
ONCE	80	One time
ONLY	80	Just one
ONTO	74	Aware of|Atop
OOZE	70	Seep slowly
OPAL	74	Iridescent gem
OPEN	84	Not shut
ORAL	74	Spoken
ORCA	74	Killer whale
OVAL	78	Egg shape
OVEN	82	Baking box
OVER	80	Finished|Above
PACE	78	Walking speed
PACK	78	Wolf group|Bundle for a trip
PACT	74	Formal agreement
PAGE	82	Book sheet
PAID	78	Settled the bill
PAIL	72	Sand bucket
PAIN	80	Ache
PAIR	80	Two of a kind
PALE	78	Washed out
PALM	78	Tropical tree|Hand's center
PANE	72	Window glass
PANT	72	Breathe hard
PARK	82	Green space
PART	80	Piece
PASS	80	Go by
PAST	80	Days gone by
PATH	82	Trail
PAVE	72	Lay asphalt
PAWN	72	Chess foot soldier
PEAK	80	Mountain top
PEAR	78	Bell-shaped fruit
PECK	72	Bird's bite
PEEK	76	Quick look
PEEL	78	Banana skin
PEER	74	Equal|Look closely
PERK	74	Job benefit
PEST	76	Annoying insect
PICK	80	Choose
PIER	74	Fishing platform
PILE	78	Heap
PILL	76	Tablet to swallow
PINE	78	Needle tree
PINK	80	Pale red
PINT	74	Half a quart
PIPE	78	Plumbing tube
PITY	74	Feel sorry for
PLAN	82	Scheme
PLAY	84	Have fun|Stage work
PLEA	74	Earnest request
PLOT	78	Story line|Small patch of land
PLOW	72	Snow mover
PLUG	76	Outlet insert
PLUM	76	Purple fruit
PLUS	78	Added to
POEM	80	Verse work
POET	78	Verse writer
POKE	76	Jab a finger
POLE	78	Tall post
POLL	76	Opinion survey
POND	78	Small lake
PONY	78	Small horse
POOL	80	Swimming spot
POOR	78	Not wealthy
PORK	76	Pig meat
PORT	78	Harbor
POSE	76	Model's stance
POST	78	Mail out|Fence upright
POUR	78	Fill a glass
PRAY	76	Say grace
PREY	72	Hunted animal
PROP	74	Stage object
PUFF	74	Little breath
PULL	80	Tug toward you
PULP	70	Juice's bits
PUMP	76	Tire filler
PURE	78	Unmixed
PUSH	80	Shove
QUIT	78	Give up
QUIZ	80	Short test
RACE	82	Sprint contest
RACK	74	Storage shelf
RAFT	76	Floating platform
RAGE	76	Fury
RAID	74	Sudden attack
RAIL	76	Train track
RAIN	84	Wet weather
RAKE	76	Leaf gatherer
RAMP	74	Sloped path
RANG	74	Sounded, as a bell
RANK	74	Position in order
RANT	72	Angry speech
RARE	80	Uncommon
RASH	72	Skin outbreak|Reckless
RATE	78	Charge per unit
RAVE	72	Gush with praise
READ	82	Take in a book
REAL	82	Genuine
REAP	72	Harvest
REAR	76	Back part
REED	70	Marsh plant
REEF	76	Coral ridge
REEL	74	Fishing spool
RELY	74	Depend
RENT	78	Monthly payment
REST	82	Take a break
